subject_code,subject_name,subject_type,l_hours,t_hours,p_hours,requires_lab_room,continuous_slots_required
Maths,DISCRETE MATHEMATICS,THEORY,3,1,0,False,1
COA,COMPUTER ORGANIZATION AND ARCHITECTURE,THEORY,3,0,0,False,1
OS,OPERATING SYSTEMS,THEORY,3,0,0,False,1
DAA,DESING & ANALYSIS OF ALGORITHMS,THEORY,3,0,0,False,1
UHV,UNIVERSAL HUMAN VALUES,THEORY,2,1,0,False,1
EVS,ENVIRONMENTAL SCIENCE,THEORY,3,0,0,False,1
COA LAB,COMPUTER ORGANIZATION AND ARCHITECTURE LAB,LAB,0,0,2,True,2
OS LAB,OPERATING SYSTEMS LAB,LAB,0,0,4,True,2
DAA LAB,DESIGN & ANALYSIS OF ALGORITHMS LAB,LAB,0,0,4,True,2
CD,COMPILER DESIGN,THEORY,3,0,0,False,1
AI,ARTIFICIAL INTELLIGENCE,THEORY,3,0,0,False,1
CC,CLOUD COMPUTING,THEORY,3,0,0,False,1
SPM,SOFTWARE PROJECT MANAGEMENT,ELECTIVE,3,0,0,False,1
DS,DATA SCIENCE,ELECTIVE,3,0,0,False,1
ML,MACHINE LEARNING,ELECTIVE,3,0,0,False,1
WC,WIRELESS COMMUNICATION,OPEN_ELECTIVE,3,0,0,False,1
WS,WIND SOLAR,OPEN_ELECTIVE,3,0,0,False,1
PROJECT,PROJECT,PROJECT,0,0,6,False,1
CD LAB,COMPILER DESIGN LAB,LAB,0,0,2,True,2
AI LAB,ARTIFICIAL INTELLIGENCE LAB,LAB,0,0,2,True,2
CC LAB,CLOUD COMPUTING LAB,LAB,0,0,2,True,2
SPM LAB,SOFTWARE PROJECT MANAGEMENT LAB,ELECTIVE,0,0,2,True,2
DS LAB,DATA SCIENCE LAB,ELECTIVE,0,0,2,True,2
ML LAB,MACHINE LEARNING LAB,ELECTIVE,0,0,2,True,2
